p1;p2
8.85916e-20;1.40843
7.5924e-20;-1.40845
6.50743e-20;1.40844
5.57702e-20;-1.40844
4.77961e-20;1.40844
4.09633e-20;-1.40843
3.51061e-20;1.40845
3.00885e-20;-1.40843
2.57858e-20;1.40843
2.20981e-20;-1.40844
1.89394e-20;1.40844
1.62324e-20;-1.40844
1.39116e-20;1.40843
1.19224e-20;-1.40845
1.02185e-20;1.40842
8.75648e-21;-1.40844
7.50463e-21;1.40844
6.43178e-21;-1.40844
5.51214e-21;1.40844
4.72425e-21;-1.40842
4.04845e-21;1.40843
3.46944e-21;-1.40843
2.97328e-21;1.40844
2.54822e-21;-1.40843
2.18385e-21;1.40845
1.87178e-21;-1.40844
1.60417e-21;1.40844
1.37488e-21;-1.40844
1.17833e-21;1.40844
1.00988e-21;-1.40843
8.65458e-22;1.40844
7.41724e-22;-1.40843
6.35635e-22;1.40844
5.44772e-22;-1.40844
4.66881e-22;1.40844
4.0013e-22;-1.40843
3.42906e-22;1.40842
2.93854e-22;-1.40843
2.51828e-22;1.40842
2.15805e-22;-1.40843
1.84938e-22;1.40845
1.58507e-22;-1.40842
1.35831e-22;1.40844
1.16413e-22;-1.40843
9.97664e-23;1.40843
8.5496e-23;-1.40845
7.32794e-23;1.40842
6.27973e-23;-1.40842
5.38135e-23;1.40844
4.61215e-23;-1.40845
3.95296e-23;1.40843
3.38763e-23;-1.40844
2.90343e-23;1.40844
2.48835e-23;-1.40844
2.13258e-23;1.40843
1.82764e-23;-1.40842
1.56614e-23;1.40844
1.34227e-23;-1.40844
1.15035e-23;1.40844
9.85902e-24;-1.40844
8.44967e-24;1.40844
7.24167e-24;-1.40844
6.20648e-24;1.40844
5.31914e-24;-1.40843
4.55832e-24;1.40845
3.90686e-24;-1.40842
3.34789e-24;1.40844
2.86927e-24;-1.40844
2.45907e-24;1.40844
2.10755e-24;-1.40844
1.8062e-24;1.40844
1.54803e-24;-1.40845
1.32677e-24;1.40844
1.13707e-24;-1.40844
9.74508e-25;1.40844
8.35202e-25;-1.40844
7.15795e-25;1.40842
6.13408e-25;-1.40842
5.25644e-25;1.40844
4.505e-25;-1.40843
3.8608e-25;1.40842
3.30854e-25;-1.40842
2.83523e-25;1.40844
2.4299e-25;-1.40844
2.08254e-25;1.40843
1.78468e-25;-1.40843
1.52949e-25;1.40845
1.31094e-25;-1.40845
1.12357e-25;1.40844
9.62919e-26;-1.40844
8.25265e-26;1.40843
7.07245e-26;-1.40844
6.06132e-26;1.40845
5.19501e-26;-1.40843
4.45201e-26;1.40843
3.81538e-26;-1.40843
3.26964e-26;1.40845
2.80244e-26;-1.40844
2.40188e-26;1.40844
2.05849e-26;-1.40844
1.76424e-26;1.40843
1.51197e-26;-1.40842
1.29564e-26;1.40843
1.11036e-26;-1.40843
9.51549e-27;1.40844
8.15509e-27;-1.40844
6.98948e-27;1.40844
5.99014e-27;-1.40844
5.13367e-27;1.40844
4.39975e-27;-1.40844
3.77074e-27;1.40844
3.23177e-27;-1.40844
2.76978e-27;1.40844
2.37382e-27;-1.40844
2.0344e-27;1.40844
1.74358e-27;-1.40844
1.49432e-27;1.40843
1.28065e-27;-1.40842
1.09741e-27;1.40844
9.40526e-28;-1.40843
8.06028e-28;1.40843
6.90761e-28;-1.40843
5.91991e-28;1.40845
5.07389e-28;-1.40845
4.34874e-28;1.40842
3.72663e-28;-1.40844
3.1938e-28;1.40844
2.73719e-28;-1.40845
2.34598e-28;1.40843
2.01043e-28;-1.40844
1.72308e-28;1.40844
1.47674e-28;-1.40844
1.26565e-28;1.40843
1.08463e-28;-1.40844
9.29557e-29;1.40843
7.96625e-29;-1.40843
6.82717e-29;1.40845
5.85152e-29;-1.40844
5.01506e-29;1.40844
4.298e-29;-1.40844
3.68359e-29;1.40844
3.15701e-29;-1.40843
2.70551e-29;1.40844
2.31881e-29;-1.40844
1.98728e-29;1.40843
1.70311e-29;-1.40842
1.45943e-29;1.40843
1.25072e-29;-1.40844
1.07193e-29;1.40844
9.18685e-30;-1.40843
7.87325e-30;1.40845
6.74804e-30;-1.40842
5.78258e-30;1.40844
4.95577e-30;-1.40844
4.24741e-30;1.40844
3.6403e-30;-1.40844
3.11994e-30;1.40843
2.67374e-30;-1.40845
2.29161e-30;1.40842
1.96382e-30;-1.40842
1.68287e-30;1.40842
1.44215e-30;-1.40842
1.2358e-30;1.40844
1.05915e-30;-1.40843
9.07687e-31;1.40843
7.7787e-31;-1.40843
6.66624e-31;1.40844
5.71339e-31;-1.40844
4.89673e-31;1.40842
4.19626e-31;-1.40843
3.59612e-31;1.40843
3.08178e-31;-1.40844
2.64119e-31;1.40844
2.26368e-31;-1.40844
1.94005e-31;1.40845
1.66277e-31;-1.40843
1.42496e-31;1.40845
1.22131e-31;-1.40842
1.04661e-31;1.40842
8.96871e-32;-1.40844
7.68632e-32;1.40844
6.58768e-32;-1.40844
5.64597e-32;1.40844
4.8388e-32;-1.40844
4.1471e-32;1.40844
3.55415e-32;-1.40844
3.04604e-32;1.40844
2.61055e-32;-1.40843
2.23718e-32;1.40843
1.91727e-32;-1.40842
1.643e-32;1.40843
1.40807e-32;-1.40845
1.20684e-32;1.40842
1.03416e-32;-1.40844
8.86306e-33;1.40843
7.59536e-33;-1.40844
6.50973e-33;1.40844
5.57911e-33;-1.40844
4.78139e-33;1.40844
4.09793e-33;-1.40843
3.51181e-33;1.40844
3.00976e-33;-1.40844
2.57946e-33;1.40843
2.2105e-33;-1.40845
1.89461e-33;1.40844
1.62377e-33;-1.40844
1.39165e-33;1.40844
1.19269e-33;-1.40844
1.02221e-33;1.40843
8.76013e-34;-1.40843
7.50727e-34;1.40843
6.4336e-34;-1.40843
5.51339e-34;1.40844
4.72534e-34;-1.40844
4.04984e-34;1.40844
3.47087e-34;-1.40844
2.97467e-34;1.40844
2.54941e-34;-1.40843
2.18487e-34;1.40845
1.87266e-34;-1.40843
1.60485e-34;1.40844
1.37543e-34;-1.40843
1.17873e-34;1.40844
1.01025e-34;-1.40844
8.65816e-35;1.40844
7.42062e-35;-1.40844
6.35979e-35;1.40843
5.45039e-35;-1.40845
4.67158e-35;1.40845
4.00391e-35;-1.40842
3.4312e-35;1.40842
2.94025e-35;-1.40844
2.51985e-35;1.40844
2.15963e-35;-1.40844
1.85092e-35;1.40843
1.58626e-35;-1.40844
1.35954e-35;1.40844
1.16515e-35;-1.40844
9.98559e-36;1.40844
8.55814e-36;-1.40844
7.33462e-36;1.40844
6.28623e-36;-1.40844
5.38773e-36;1.40844
4.61742e-36;-1.40843
3.95715e-36;1.40842
3.39105e-36;-1.40844
2.90629e-36;1.40844
2.49082e-36;-1.40843
2.13463e-36;1.40843
1.82934e-36;-1.40843
1.56769e-36;1.40844
1.34361e-36;-1.40844
1.15155e-36;1.40843
9.86861e-37;-1.40845
8.45813e-37;1.40843
7.24856e-37;-1.40844
6.21217e-37;1.40844
