p1;p2
8.11325;65.829
8.11296;65.8243
8.11268;65.8197
8.11239;65.8151
8.11211;65.8104
8.11182;65.8058
8.11153;65.8011
8.11125;65.7965
8.11096;65.7918
8.11067;65.7872
8.11039;65.7826
8.1101;65.7779
8.10981;65.7733
8.10953;65.7686
8.10924;65.764
8.10897;65.7594
8.10867;65.7547
8.10838;65.7501
8.10811;65.7455
8.10781;65.7408
8.10752;65.7362
8.10724;65.7315
8.10695;65.7269
8.10668;65.7223
8.10638;65.7176
8.1061;65.713
8.10581;65.7084
8.10552;65.7037
8.10525;65.6992
8.10495;65.6945
8.10467;65.6898
8.10438;65.6852
8.10409;65.6805
8.10382;65.676
8.10352;65.6713
8.10323;65.6666
8.10296;65.6621
8.10266;65.6574
8.10239;65.6528
8.10209;65.6481
8.10182;65.6435
8.10153;65.6389
8.10123;65.6342
8.10096;65.6296
8.10067;65.625
8.10038;65.6204
8.1001;65.6157
8.0998;65.611
8.09952;65.6065
8.09924;65.6018
8.09895;65.5972
8.09866;65.5925
8.09839;65.588
8.09809;65.5833
8.0978;65.5786
8.09752;65.574
8.09723;65.5694
8.09695;65.5648
8.09666;65.5601
8.09638;65.5555
8.09609;65.5509
8.0958;65.5462
8.09552;65.5416
8.09523;65.537
8.09495;65.5324
8.09466;65.5277
8.09438;65.5232
8.09409;65.5184
8.0938;65.5138
8.09351;65.5092
8.09324;65.5046
8.09295;65.5
8.09265;65.4953
8.09238;65.4907
8.09209;65.4861
8.0918;65.4815
8.09151;65.4768
8.09124;65.4722
8.09094;65.4675
8.09066;65.463
8.09038;65.4583
8.09009;65.4537
8.0898;65.4491
8.08951;65.4444
8.08923;65.4398
8.08894;65.4352
8.08866;65.4306
8.08837;65.4259
8.08809;65.4213
8.0878;65.4167
8.08752;65.4121
8.08723;65.4074
8.08695;65.4029
8.08665;65.3982
8.08636;65.3935
8.08609;65.389
8.0858;65.3843
8.08551;65.3797
8.08522;65.375
8.08494;65.3704
8.08465;65.3658
8.08437;65.3612
8.08409;65.3566
8.0838;65.352
8.0835;65.3472
8.08322;65.3427
8.08294;65.338
8.08265;65.3334
8.08236;65.3288
8.08208;65.3242
8.08179;65.3195
8.08151;65.315
8.08122;65.3103
8.08094;65.3058
8.08064;65.301
8.08037;65.2965
8.08008;65.2918
8.07979;65.2872
8.0795;65.2826
8.07923;65.278
8.07893;65.2733
8.07865;65.2688
8.07836;65.2641
8.07808;65.2595
8.07779;65.2548
8.07751;65.2503
8.07721;65.2456
8.07693;65.241
8.07664;65.2364
8.07637;65.2318
8.07608;65.2272
8.07579;65.2226
8.07551;65.218
8.07521;65.2133
8.07494;65.2087
8.07465;65.2041
8.07436;65.1995
8.07407;65.1948
8.07379;65.1903
8.0735;65.1856
8.07322;65.181
8.07293;65.1764
8.07265;65.1718
8.07236;65.1672
8.07207;65.1625
8.0718;65.158
8.0715;65.1533
8.07122;65.1487
8.07093;65.1441
8.07065;65.1395
8.07035;65.1348
8.07008;65.1303
8.06978;65.1256
8.0695;65.121
8.06921;65.1163
8.06893;65.1118
8.06863;65.1071
8.06835;65.1025
8.06806;65.0979
8.06779;65.0933
8.0675;65.0887
8.06721;65.0841
8.06693;65.0795
8.06663;65.0748
8.06635;65.0702
8.06606;65.0656
8.06578;65.061
8.0655;65.0564
8.06521;65.0518
8.06493;65.0472
8.06463;65.0425
8.06435;65.038
8.06406;65.0333
8.06378;65.0288
8.0635;65.0241
8.06321;65.0195
8.06293;65.0149
8.06263;65.0102
8.06235;65.0057
8.06206;65.001
8.06178;64.9965
8.06149;64.9919
8.0612;64.9872
8.06092;64.9826
8.06063;64.9779
8.06035;64.9734
8.06007;64.9688
8.05978;64.9642
8.0595;64.9596
8.0592;64.9549
8.05892;64.9504
8.05863;64.9457
8.05834;64.9411
8.05806;64.9365
8.05777;64.9319
8.05749;64.9273
8.05719;64.9226
8.05691;64.9181
8.05664;64.9135
8.05634;64.9089
8.05606;64.9043
8.05578;64.8997
8.05549;64.8951
8.05521;64.8905
8.05491;64.8858
8.05463;64.8812
8.05434;64.8766
8.05406;64.872
8.05377;64.8674
8.05348;64.8628
8.0532;64.8582
8.05292;64.8537
8.05262;64.849
8.05234;64.8444
8.05205;64.8398
8.05177;64.8352
8.05148;64.8306
8.05119;64.8259
8.05091;64.8214
8.05063;64.8168
8.05033;64.8121
8.05005;64.8076
8.04976;64.8029
8.04948;64.7984
8.0492;64.7937
8.0489;64.7891
8.04862;64.7845
8.04834;64.78
8.04805;64.7753
8.04777;64.7707
8.04749;64.7662
8.04719;64.7615
8.04691;64.7569
8.04663;64.7524
8.04633;64.7477
8.04605;64.7431
8.04575;64.7384
8.04547;64.7339
8.04519;64.7293
8.0449;64.7247
8.04462;64.7201
8.04433;64.7155
8.04404;64.7109
8.04376;64.7063
8.04348;64.7018
8.04318;64.697
8.0429;64.6925
8.04262;64.6879
8.04233;64.6833
8.04205;64.6787
8.04177;64.6742
8.04147;64.6695
8.04119;64.6649
8.04091;64.6604
8.04061;64.6557
8.04033;64.6511
8.04005;64.6465
8.03976;64.6419
8.03948;64.6373
8.0392;64.6328
8.0389;64.6281
8.03861;64.6235
8.03833;64.619
8.03803;64.6143
8.03775;64.6097
8.03747;64.6052
8.03718;64.6005
8.0369;64.5959
8.03662;64.5914
8.03632;64.5867
8.03604;64.5821
8.03576;64.5776
8.03546;64.5729
8.03518;64.5684
8.0349;64.5638
8.03461;64.5592
8.03432;64.5546
8.03404;64.55
8.03376;64.5454
8.03346;64.5407
8.03318;64.5362
8.0329;64.5316
8.03261;64.527
8.03232;64.5224
8.03204;64.5178
8.03175;64.5133
8.03146;64.5086
8.03118;64.5041
8.0309;64.4995
8.0306;64.4948
8.03032;64.4902
8.03004;64.4857
8.02974;64.481
8.02946;64.4765
8.02917;64.4719
8.02889;64.4673
8.02861;64.4628
8.02832;64.4581
8.02804;64.4536
8.02776;64.449
8.02746;64.4443
8.02717;64.4397
8.02689;64.4352
8.0266;64.4305
8.02632;64.426
8.02603;64.4214
8.02575;64.4168
8.02545;64.4122
8.02517;64.4076
8.02489;64.4031
8.02461;64.3985
8.02431;64.3938
8.02403;64.3892
8.02375;64.3847
8.02346;64.3801
8.02317;64.3755
8.02289;64.3709
8.0226;64.3663
8.02232;64.3618
8.02202;64.3571
8.02174;64.3526
8.02146;64.348
8.02118;64.3434
8.02088;64.3387
8.0206;64.3342
8.02031;64.3296
8.02002;64.325
8.01974;64.3204
8.01946;64.3159
8.01917;64.3113
8.01889;64.3067
8.01859;64.3021
8.01831;64.2975
8.01803;64.2929
8.01775;64.2884
8.01744;64.2837
8.01716;64.2791
8.01688;64.2746
8.0166;64.27
8.0163;64.2654
8.01601;64.2608
8.01573;64.2562
8.01545;64.2517
8.01517;64.2471
8.01487;64.2425
8.01459;64.2379
8.01431;64.2333
8.01403;64.2288
8.01373;64.2241
8.01344;64.2195
8.01316;64.215
8.01288;64.2104
8.0126;64.2059
8.01231;64.2013
8.01201;64.1966
8.01173;64.192
8.01145;64.1875
8.01117;64.1829
8.01087;64.1783
8.01059;64.1737
8.01031;64.1692
8.01002;64.1646
8.00973;64.16
8.00945;64.1555
8.00916;64.1508
8.00887;64.1463
8.00859;64.1417
8.00831;64.1372
8.00801;64.1324
8.00772;64.1279
8.00744;64.1233
8.00716;64.1188
8.00688;64.1142
8.00658;64.1096
8.0063;64.105
8.00601;64.1005
8.00572;64.0959
-8.13032;66.1067
-8.12988;66.0999
-8.1295;66.0937
-8.12911;66.0875
-8.12872;66.0812
-8.12834;66.075
-8.12797;66.0688
-8.12758;66.0625
-8.12719;66.0563
-8.12681;66.0501
-8.12642;66.0438
-8.12604;66.0376
-8.12566;66.0314
-8.12528;66.0252
-8.12489;66.0189
-8.1245;66.0126
-8.12413;66.0065
-8.12374;66.0002
-8.12336;65.994
-8.12297;65.9877
-8.12259;65.9816
-8.1222;65.9753
-8.12182;65.9691
-8.12143;65.9628
-8.12106;65.9566
-8.12067;65.9503
-8.12029;65.9441
-8.1199;65.9379
-8.11953;65.9317
-8.11914;65.9254
-8.11876;65.9192
-8.11836;65.9129
-8.11799;65.9068
-8.1176;65.9005
-8.11722;65.8943
-8.11683;65.888
-8.11646;65.8819
-8.11606;65.8756
-8.11569;65.8694
-8.11529;65.8631
-8.11492;65.857
-8.11453;65.8507
-8.11415;65.8445
-8.11376;65.8382
-8.11338;65.832
-8.113;65.8258
-8.11261;65.8196
-8.11223;65.8133
-8.11185;65.8071
-8.11147;65.8009
-8.11108;65.7947
-8.1107;65.7885
-8.11031;65.7822
-8.10993;65.776
-8.10954;65.7698
-8.10916;65.7636
-8.10877;65.7573
-8.1084;65.7512
-8.10801;65.7449
-8.10763;65.7387
-8.10725;65.7325
-8.10686;65.7262
-8.10648;65.72
-8.10609;65.7137
-8.10571;65.7076
-8.10532;65.7013
-8.10494;65.6951
-8.10457;65.689
-8.10417;65.6827
-8.10379;65.6765
-8.1034;65.6702
-8.10303;65.6641
-8.10264;65.6579
-8.10226;65.6516
-8.10188;65.6454
-8.10148;65.6392
-8.1011;65.633
-8.10072;65.6267
-8.10034;65.6205
-8.09995;65.6143
-8.09957;65.6081
-8.09919;65.6019
-8.09879;65.5956
-8.09842;65.5895
-8.09804;65.5833
-8.09765;65.577
-8.09727;65.5708
-8.09689;65.5647
-8.0965;65.5584
-8.09612;65.5522
-8.09573;65.5459
-8.09535;65.5397
-8.09497;65.5336
-8.09458;65.5273
-8.0942;65.5211
-8.09381;65.5149
-8.09343;65.5087
-8.09305;65.5025
